,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,Unnamed: 8
0,12-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,
1,11-03-23,United Kingdom,Public administration,DDoS attacks against the subdomains of two regional British councils,Disruption,DDoS,NoName057(16),Possible,
2,10-03-23,Moldova,Public administration,DDoS attacks against the websites of two Moldovan ministries,Disruption,DDoS,Russian Hackers Community,Possible,
3,10-03-23,France,Financial,DDoS attack against a French banking information website,Disruption,DDoS,Russian Hackers Community,Possible,
4,10-03-23,Italy,Financial,DDoS attacks against two subdomains of an Italian bank,Disruption,DDoS,NoName057(16),Possible,
5,10-03-23,Estonia,Financial,"Campaign: DDoS attacks against the websites of two Estonian banks, one Estonian insurance company and an Estonian e-procurement system",Disruption,DDoS,NoName057(16),Possible,
6,10-03-23,Estonia,Transportation,Campaign: DDoS attack against the website of a state-owned Estonian railway company,Disruption,DDoS,NoName057(16),Possible,
7,10-03-23,Estonia,Energy,Campaign: DDoS attacks against the website and subdomain of an Estonian energy company,Disruption,DDoS,NoName057(16),Possible,
8,09-03-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry,Disruption,DDoS,NoName057(16),Possible,
9,08-03-23,United Kingdom,Manufacturing,DDoS attack against the website of a British nuclear fuel company,Disruption,DDoS,NoName057(16),Possible,
0,08-03-23,Lithuania,Financial,DDoS attack against the website of a Lithuanian bank,Disruption,DDoS,NoName057(16),Possible,
1,08-03-23,Lithuania,Transportation,DDoS attack against the website of a Lithuanian cargo transportation and warehousing company,Disruption,DDoS,NoName057(16),Possible,
2,08-03-23,Poland,Manufacturing,Campaign: DDoS attacks against the websites of a Polish weapons manufacturer and a Polish electronics manufacturer,Disruption,DDoS,NoName057(16),Possible,
3,08-03-23,Poland,Arts,Campaign: DDoS attack against the website of a Polish national archive,Disruption,DDoS,NoName057(16),Possible,
4,08-03-23,Poland,Public administration,Campaign: DDoS attacks against the website of a Polish government office and a Polish government tax website,Disruption,DDoS,NoName057(16),Possible,
5,08-03-23,Poland,Transportation,Campaign: DDoS attack against the website of a Polish gas transportation company,Disruption,DDoS,NoName057(16),Possible,
6,08-03-23,Latvia,Public administration,DDoS attack against the website of a Latvian ministry,Disruption,DDoS,NoName057(16),Possible,
7,08-03-23,Latvia,Administrative / Support,DDoS attack against the website of an independent Latvian public regulator,Disruption,DDoS,NoName057(16),Possible,
8,08-03-23,Romania,Financial,Campaign: DDoS attack against the website of a Romanian bank,Disruption,DDoS,Russian Hackers Community,Possible,
9,08-03-23,Romania,Transportation,Campaign: DDoS attacks against two websites of a Romanian airport,Disruption,DDoS,Russian Hackers Community,Possible,
0,07-03-23,Latvia,Transportation,DDoS attack against the website of a state-owned Latvian postal company,Disruption,DDoS,NoName057(16),Possible,
1,07-03-23,Poland,Energy,Campaign: DDoS attack against the website of a Polish oil and gas company,Disruption,DDoS,NoName057(16),Possible,
2,07-03-23,Poland,Public administration,Campaign: DDoS attacks against a Polish government online platform and the website and subdomain of a Polish government committee,Disruption,DDoS,NoName057(16),Possible,
3,07-03-23,Germany,Manufacturing,Campaign: DDoS attacks against two subdomains of a German weapons manufacturer,Disruption,DDoS,NoName057(16),Possible,
4,07-03-23,Germany,Public administration,Campaign: DDoS attacks against the website and subdomain of the German federal government,Disruption,DDoS,NoName057(16),Possible,
5,07-03-23,Romania,Manufacturing,DDoS attack against the website of a Romanian electrical equipment manufacturer,Disruption,DDoS,Russian Hackers Community,Possible,
6,06-03-23,Russian Federation,Accommodation,DDoS attack against the website of a Russian ski resort,Disruption,DDoS,Anonymous Italia,Possible,
7,06-03-23,Germany,Manufacturing,Campaign: DDoS attacks against the website and the IT infrastructure of a German weapons manufacturer,Disruption,DDoS,KillNet Collective,Probable,
8,06-03-23,Lithuania,Transportation,Campaign: DDoS attacks against the website of a Lithuanian cargo transportation company and the website and subdomain of a Lithuanian transportation and warehousing company,Disruption,DDoS,NoName057(16),Possible,
9,06-03-23,United States,Public administration,Campaign: cyber-enabled information operation conducted against US government officials,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,
0,06-03-23,United Kingdom,Public administration,Campaign: cyber-enabled information operation conducted against UK government officials,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,
1,06-03-23,Austria,Public administration,Campaign: cyber-enabled information operation conducted against an Austrian government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,
2,06-03-23,Poland,Public administration,Campaign: cyber-enabled information operation conducted against a Polish government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,
3,06-03-23,Hungary,Public administration,Campaign: cyber-enabled information operation conducted against a Hungarian government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,
4,06-03-23,Georgia,Public administration,Campaign: cyber-enabled information operation conducted against a German government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,
5,06-03-23,Spain,Public administration,Campaign: cyber-enabled information operation conducted against a Spanish government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,
6,06-03-23,Poland,ICT,DDoS attack against the website of a Polish radio station,Disruption,DDoS,Cyber Cat,Possible,
