,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,ActorNation
0,24-03-23,Russian Federation,Media,DDoS attack against the website of a Russian media,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
1,24-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank,Disruption,DDoS,IT Army of Ukraine,Possible,Ukraine
2,24-03-23,Czech Republic,Energy,DDoS attack against the website of a Czech energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
3,24-03-23,North Macedonia,Public administration,DDoS attack against the website of the North Macedonian Assembly,Disruption,DDoS,NoName057(16),Possible,Russian Federation
4,24-03-23,Italy,Public administration,DDoS attack against the website of an Italian court and the website and subdomain of an Italian regulation authority,Disruption,DDoS,NoName057(16),Possible,Russian Federation
5,24-03-23,Poland,Public administration,Campaign: DDoS attacks against two Polish government platforms and one Polish government portal,Disruption,DDoS,NoName057(16),Possible,Russian Federation
6,23-03-23,France,Education,DDoS attack against a French government institute,Disruption,DDoS,NoName057(16),Possible,Russian Federation
7,23-03-23,Czech Republic,Transportation,"Campaign: DDoS attacks against the websites of seven Czech entities (three airports, one bus station, one airline, one regional integrated transport web, and one cargo transport company)",Disruption,DDoS,NoName057(16),Possible,Russian Federation
8,22-03-23,Italy,Public administration,DDoS attacks against the websites of an Italian court and police,Disruption,DDoS,NoName057(16),Possible,Russian Federation
9,22-03-23,Japan,Transportation,DDoS attack against the subdomain of a Japanese railway company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
10,22-03-23,Japan,Other service,DDoS attack against the website of a Japanese association,Disruption,DDoS,NoName057(16),Possible,Russian Federation
11,22-03-23,Poland,Transportation,Campaign: DDoS attacks against the websites of a Polish airport and a regional rapid transit and commuter rail service,Disruption,DDoS,NoName057(16),Possible,Russian Federation
12,22-03-23,Poland,Manufacturing,Campaign: DDoS attack against the website of a Polish weapons manufacturer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
13,21-03-23,Italy,Public administration,Campaign: DDoS attacks against the website of an Italian ministry and the website and subdomain of a regulatory authority,Disruption,DDoS,NoName057(16),Possible,Russian Federation
14,21-03-23,Italy,Transportation,Campaign: DDoS attacks against the website of an Italian airport and the website and subdomain of a regional public transport company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
15,21-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
16,20-03-23,Ukraine,Public administration,"Campaign: Cyberespionage campaign against organizations in Crimea, Luhansk and Donetsk regions",Data,Cyberespionage / Malware,,Confirmed,No Nationality Found
17,20-03-23,Ukraine,Agriculture,"Campaign: Cyberespionage campaign against organizations in Crimea, Luhansk and Donetsk regions",Data,Cyberespionage / Malware,,Confirmed,No Nationality Found
18,20-03-23,Ukraine,Transportation,"Campaign: Cyberespionage campaign against organizations in Crimea, Luhansk and Donetsk regions",Data,Cyberespionage / Malware,,Confirmed,No Nationality Found
19,20-03-23,Czech Republic,Transportation,Campaign: DDoS attack against the website of a Czech regional public transport operator,Disruption,DDoS,NoName057(16),Possible,Russian Federation
20,20-03-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of two Czech manufacturers,Disruption,DDoS,NoName057(16),Possible,Russian Federation
21,20-03-23,Czech Republic,Energy,Campaign:DDoS attack against the website of a Czech energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
22,20-03-23,Czech Republic,ICT,Campaign: DDoS attacks against the website and subdomain of a Czech telecommunications company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
23,20-03-23,North Macedonia,Public administration,DDoS attack against the website of the North Macedonian Assembly,Disruption,DDoS,NoName057(16),Possible,Russian Federation
24,19-03-23,Poland,Public administration,DDoS attack against the website of a Polish government agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
25,19-03-23,Czech Republic,Public administration,Campaign: DDoS attack against the website of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
26,19-03-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of five Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
27,18-03-23,Poland,Manufacturing,DDoS attacks against the websites of two Polish weapons manufacturers,Disruption,DDoS,NoName057(16),Possible,Russian Federation
28,18-03-23,Italy,Public administration,DDoS attack against the website of an Italian judiciary council,Disruption,DDoS,NoName057(16),Possible,Russian Federation
29,18-03-23,Latvia,Energy,DDoS attacks against the website of a Latvian state-owned energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
30,18-03-23,Latvia,Transportation,DDoS attack against the website of a state-owned Latvian postal company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
31,17-03-23,Japan,Transportation,DDoS attacks against two subdomains of a Japanese railway company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
32,17-03-23,Sweden,Public administration,DDoS attacks against the website of a Swedish government agency and the subdomain of a Swedish ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
