,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,Unnamed: 8
0,2023-03-12,ru,Financial,DDoS attack against the website of a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,
1,2023-03-03,ru,Administrative / Support,DDoS attack against the website of a Russian online booking agency,Disruption,DDoS,IT Army of Ukraine,Confirmed,
2,2023-03-02,ru,Financial,Campaign: DDoS attacks against the websites of four Russian companies providing equating services,Disruption,DDoS,IT Army of Ukraine,Possible,
3,2023-02-27,ru,Public administration,DDoS attack against Russian customs,Disruption,DDoS,IT Army of Ukraine,Confirmed,
4,2023-02-20,ru,Media,DDoS attacks against the website of a Russian television channel and a Russian online streaming platform,Disruption,DDoS,IT Army of Ukraine,Possible,
5,2023-02-15,ru,Energy,DDoS attack against the subdomain of a Russian gas company.,Disruption,DDoS,IT Army of Ukraine,Possible,
6,2023-02-14,ru,Financial,Cyberattack against a Russian payment application,Unknown,Unknown,IT Army of Ukraine,Possible,
7,2023-02-14,ru,ICT,Cyberattack against a Russian Internet service provider,Unknown,Unknown,IT Army of Ukraine,Possible,
8,2023-02-12,ru,Arts,DDoS attack against the website of a Russian art studio,Disruption,DDoS,IT Army of Ukraine,Possible,
9,2023-02-03,ru,Trade,Campaign: DDoS attack against the websites of three Russian e-shops,Disruption,DDoS,IT Army of Ukraine,Possible,
0,2023-02-03,ru,Administrative / Support,Campaign: DDoS attack against the website of a Russian toll system,Disruption,DDoS,IT Army of Ukraine,Possible,
1,2023-01-28,ru,Energy,Hack and Leak operation against a Russian energy company,Data,Hack And Leak,IT Army of Ukraine,Possible,
2,2022-12-30,ru,Public administration,Campaign: Defacement operations against the websites of at least seven Russian district administrations,Disinformation,Defacement,IT Army of Ukraine,Possible,
3,2022-12-21,ru,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Confirmed,
4,2022-12-21,ru,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Probable,
5,2022-12-14,ru,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Possible,
6,2022-12-13,ru,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Confirmed,
7,2022-11-28,ru,Financial,Campaign: DDoS attacks against a Russian bank,Disruption,DDoS,IT Army of Ukraine,Probable,
8,2022-11-03,ru,Financial,Hack and leak operation against a Russian bank,Data,Hack And Leak,IT Army of Ukraine,Possible,
9,2022-11-03,ru,Education,Hack and leak operation against a Russian online university,Data,Hack And Leak,IT Army of Ukraine,Possible,
0,2022-10-18,ru,Public administration,Cyberattack against Russia's Federal Tax authorities,Disruption,Unknown,IT Army of Ukraine,Possible,
1,2022-10-10,ru,Energy,Cyberattack against a company servicing the power grids of St Petersburg and Leningrad,Disruption,Unknown,IT Army of Ukraine,Probable,
2,2022-10-09,ru,Financial,DDoS attack against a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,
3,2022-10-05,ru,ICT,DDoS attack against a Russian local search company,Disruption,DDoS,IT Army of Ukraine,Confirmed,
4,2022-10-03,ru,Trade,Campaign: DDoS attacks against Russian online drone stores,Disruption,DDoS,IT Army of Ukraine,Probable,
5,2022-09-25,ru,Financial,DDoS attack against a Russian company providing payment services,Disruption,DDoS,IT Army of Ukraine,Confirmed,
6,2022-09-22,ru,Financial,DDoS attack against a Russian card payment service,Disruption,DDoS,IT Army of Ukraine,Possible,
7,2022-09-21,ru,Financial,DDoS attack against Russian exchange,Disruption,DDoS,IT Army of Ukraine,Possible,
8,2022-09-19,ru,Administrative / Support,DDoS attack against Russian job search website,Disruption,DDoS,IT Army of Ukraine,Possible,
9,2022-09-18,ru,Administrative / Support,DDoS attack against a Russian job search website,Disruption,DDoS,IT Army of Ukraine,Confirmed,
0,2022-09-15,ru,Trade,Campaign: DDoS attack against Russian online stores,Disruption,DDoS,IT Army of Ukraine,Possible,
1,2022-09-13,ru,Media,DDoS attack against a Russian news media,Disruption,DDoS,IT Army of Ukraine,Confirmed,
2,2022-09-12,ru,Financial,DDoS attack against a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,
3,2022-09-10,ru,Trade,DDoS attack against a Russian online marketplace,Disruption,DDoS,IT Army of Ukraine,Possible,
4,2022-09-05,ru,Financial,DDoS attack against a Russian bank,Disruption,DDoS,IT Army of Ukraine,Possible,
5,2022-09-03,ru,Media,DDoS attack against a Russian media group,Disruption,DDoS,IT Army of Ukraine,Possible,
6,2022-08-31,No match found,Media,Defacement of Russian TV channels broadcasting in Crimea,Disinformation,Defacement,IT Army of Ukraine,Possible,
7,2022-08-31,ru,Administrative / Support,DDoS attack against Russian companies providing electronic document management systems,Disruption,DDoS,IT Army of Ukraine,Probable,
8,2022-08-27,ru,Trade,DDoS attack against a Russian retail chain,Disruption,DDoS,IT Army of Ukraine,Probable,
9,2022-08-26,ru,Media,DDoS attack against a Russian news media,Disruption,DDoS,IT Army of Ukraine,Possible,
0,2022-08-25,ru,Media,DDoS attack against a Russian news agency,Disruption,DDoS,IT Army of Ukraine,Confirmed,
1,2022-08-24,ru,Media,DDoS attack against a state-owned Russian news agency,Disruption,DDoS,IT Army of Ukraine,Possible,
2,2022-08-23,ua,ICT,Cyberattack against a Russian internet provider in Crimea,Disruption,Unknown,IT Army of Ukraine,Confirmed,
3,2022-08-22,ru,ICT,Hack and leak operation against the founder and technical director of a Russian fintech company.,Data,Hack And Leak,IT Army of Ukraine,Possible,
4,2022-08-21,ru,Financial,DDoS attacks against Russian providers of money transfer services,Disruption,DDoS,IT Army of Ukraine,Possible,
5,2022-08-18,ru,Financial,Campaign: DDoS attacks against Russian banking services.,Disruption,DDoS,IT Army of Ukraine,Possible,
6,2022-08-15,ru,Other service,DDoS attack against a Russian political party,Disruption,DDoS,IT Army of Ukraine,Confirmed,
7,2022-08-13,ru,Media,Campaign: DDoS attacks against Russian news agencies,Disruption,DDoS,IT Army of Ukraine,Possible,
8,2022-08-11,ru,ICT,DDoS attack against a Russian videoconference service,Disruption,DDoS,IT Army of Ukraine,Probable,
9,2022-08-07,ru,ICT,DDoS attack against a Russian platform for video calls and remote works,Disruption,DDoS,IT Army of Ukraine,Probable,
0,2022-07-31,ru,Financial,DDoS campaign against Russian Banks,Disruption,DDoS,IT Army of Ukraine,Possible,
1,2022-07-10,ru,Media,DDoS campaign hits Russian cinemas,Disruption,DDoS,IT Army of Ukraine,Confirmed,
2,2022-06-29,ru,Financial,DDoS and hack & leak attack against Russian bidding company,Data,Hack And Leak,IT Army of Ukraine,Possible,
3,2022-05-01,ru,Public administration,DDoS attack impact producers and distributors of alcohol in Russia,Disruption,DDoS,IT Army of Ukraine,Possible,
4,2022-04-05,ru,Energy,Defacement of the website of a Russian energy corporation,Disinformation,Defacement,IT Army of Ukraine,Possible,
5,2022-03-17,ru,Media,Hack and leak operation against a Russian social media application,Data,Hack And Leak,IT Army of Ukraine,Confirmed,
